nombre,L1,L2,L3,L4,lon,lat
Luceros ALACANT,1,1,1,1,38.3459432,-0.4908874
Mercado,1,1,1,1,38.3483253,-0.4847497
MARQ-Castillo,1,1,1,1,38.3521273,-0.4755986
La Goteta – Plaza Mar 2,0,1,0,0,38.3546562,-0.4692788
Bulevar del Pla,0,1,0,0,38.3600218,-0.4723279
Garbinet,0,1,0,0,38.3624554,-0.4782017
Hospital,0,1,0,0,38.3643737,-0.4838483
Maestro Alonso,0,1,0,0,38.3683196,-0.4858054
Pintor Gastón Castelló,0,1,0,0,38.3738822,-0.4871457
Virgen del Remedio,0,1,0,0,38.3766084,-0.4905855
Ciudad Jardín,0,1,0,0,38.3758467,-0.4977513
Santa Isabel,0,1,0,0,38.3818207,-0.504384
Universitat,0,1,0,0,38.3869063,-0.510847
SANT VICENT DEL RASPEIG,0,1,0,0,38.392037,-0.51693
Sangueta,1,0,1,1,38.3518744,-0.4679127
La Isleta,1,0,1,1,38.3628659,-0.4470158
Albufereta,1,0,1,1,38.366806,-0.4426135
Lucentum,1,0,1,1,38.3701059,-0.4383024
Miriam Blasco,0,0,0,1,38.3689003,-0.43536
Sergio Cardell,0,0,0,1,38.3646528,-0.432275
Tridente,0,0,0,1,38.3622055,-0.425147
Av. Naciones,0,0,0,1,38.3623101,-0.4204029
Cabo Huertas,0,0,0,1,38.3625717,-0.414781
Av. Benidorm,0,0,0,1,38.3653488,-0.411875
Londres,0,0,0,1,38.3701744,-0.412003
Pl. LA CORUÑA,0,0,0,1,38.3754158,-0.413214
Instituto,0,0,0,1,38.3768005,-0.419178
Países Escandinavos,0,0,0,1,38.3725166,-0.42
Holanda,0,0,0,1,38.3681679,-0.419828
Condomina,1,0,1,0,38.3748442,-0.4287167
Campo de Golf,1,0,1,0,38.3775211,-0.421798
Costa Blanca,1,0,1,0,38.3791161,-0.4112
Carrabiners,1,0,1,0,38.3886795,-0.4084
Muchavista,1,0,1,0,38.3969994,-0.4067
Les Llances,1,0,1,0,38.4051018,-0.404183
Fabraquer,1,0,1,0,38.4124547,-0.4018026
Salesians,1,0,1,0,38.4160375,-0.397839
Pla Barraques,1,0,1,0,38.4215219,-0.3969335
EL CAMPELLO,1,0,1,0,38.4278531,-0.3951601
Poble Espanyol,1,0,0,0,38.4391592,-0.3826487
Amerador,1,0,0,0,38.4445496,-0.373678
Coveta Fumá,1,0,0,0,38.4502365,-0.3642613
Cala Piteres,1,0,0,0,38.4540639,-0.3530631
Venta Lanuza,1,0,0,0,38.4770349,-0.318201
Paradís,1,0,0,0,38.5002441,-0.257412
La Vila Joiosa,1,0,0,0,38.5058611,-0.2364338
Creueta,1,0,0,0,38.5100544,-0.2316647
Costera Pastor,1,0,0,0,38.5135444,-0.2192389
Hospital Vila,1,0,0,0,38.5307999,-0.198982
Cala Finestrat,1,0,0,0,38.5406045,-0.1750261
Terra Mítica,1,0,0,0,38.5466915,-0.1589765
BENIDORM,1,0,0,0,38.5480138,-0.1344378
